Título;Ano;Nota;Sinopse;Diretor;Elenco Principal
Vá e Veja;1985;8,3;Depois de encontrar uma arma, um jovem se une as forças da resistença russa contra os alemães na segunda guerra mundial.;Elem Klimov;Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius
Réquiem para um Sonho;2000;8,3;As utopias causadas pelo uso de drogas em quatro pessoas de Coney Island se rompem quando seus vícios as dominam.;Darren Aronofsky;Ellen Burstyn, Jared Leto, Jennifer Connelly
Star Wars: Episódio VI - O Retorno de Jedi;1983;8,3;Depois de resgatar Han Solo de Jabba, o Hutt, a Aliança Rebelde tenta destruir a segunda Estrela da Morte, enquanto Luke luta para ajudar Darth Vader a voltar do lado negro.;Richard Marquand;Mark Hamill, Harrison Ford, Carrie Fisher
Toy Story 3;2010;8,3;Os brinquedos são dados por erro a uma creche, Woody junto com os outros brinquedos tentaram voltar a casa do Andy.;Lee Unkrich;Tom Hanks, Tim Allen, Joan Cusack
A Caça;2012;8,3;Um professor vive uma vida solitária enquanto luta pela custódia de seu filho. Sua vida melhora lentamente quando ele encontra o amor e recebe boas notícias de seu filho, mas sua sorte está prestes a mudar por uma pequena mentira inocente.;Thomas Vinterberg;Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp
Viver;1952;8,3;Depois de descobrir que tem câncer terminal, um burocrata tenta encontrar um sentido para sua vida.;Akira Kurosawa;Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori
Brilho Eterno de uma Mente sem Lembranças;2004;8,3;Quando sua relaçao se volta complicada, um casal tenta um procedimento médico para que suas memorias sejam apagadas.;Michel Gondry;Jim Carrey, Kate Winslet, Tom Wilkinson
Incêndios;2010;8,3;Os gêmeos viajam para o Oriente Médio para descobrir sua história familiar e cumprir os últimos desejos de sua mãe.;Denis Villeneuve;Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette
Se Meu Apartamento Falasse;1960;8,3;Um homem tenta subir na empresa permitindo que seus executivos usem seu apartamento para encontros, mas surgem complicações e um romance próprio.;Billy Wilder;Jack Lemmon, Shirley MacLaine, Fred MacMurray
Lawrence da Arábia;1962;8,3;A história de T. E. Lawrence, o oficial inglês que conseguiu unir e liderar várias tribos árabes, durante a Primeira Guerra Mundial para lutar contra os turcos.;David Lean;Peter O'Toole, Alec Guinness, Anthony Quinn
2001: Uma Odisséia no Espaço;1968;8,3;Trás descobrir um misterioso artefato na superfície da Lua, a humanidade tenta encontrar seus origens com a ajuda da inteligença do ordernador HAL 9000.;Stanley Kubrick;Keir Dullea, Gary Lockwood, William Sylvester
Cães de Aluguel;1992;8,3;Quando um simples roubo de jóias dá errado, os criminosos sobreviventes começam a suspeitar que um deles é um informante da polícia.;Quentin Tarantino;Harvey Keitel, Tim Roth, Michael Madsen
Scarface;1983;8,3;Em 1980, um imigrante cubano se torna o maior traficante de cocaína de Miami.;Brian De Palma;Al Pacino, Michelle Pfeiffer, Steven Bauer
Fogo Contra Fogo;1995;8,3;Um grupo de ladrões de banco suspeitam que a polícia estejam atrás deles quando deixam uma pista no seu último roubo.;Michael Mann;Al Pacino, Robert De Niro, Val Kilmer
Pacto de Sangue;1944;8,3;Um agente de seguros se deixa convencer de um esquema de assassinato e fraude, o que desperta a suspeita de um investigador.;Billy Wilder;Fred MacMurray, Barbara Stanwyck, Edward G. Robinson
Intriga Internacional;1959;8,3;Um executivo de publicidade de Nova Iorque tem que fugir quando é confundido por um agente de governo.;Alfred Hitchcock;Cary Grant, Eva Marie Saint, James Mason
